"ID","Apelido","ClubeID","PosicaoID"
91866,"Zé Ivaldo",293,3
91917,"Silva",373,4
91929,"Everson",265,3
91971,"Wesley Carvalho",287,6
91972,"João Paulo",265,5
91973,"Lucas Marques",315,4
92057,"Gabriel Félix",267,1
92078,"Wallace",292,5
92081,"Richarlison ",266,5
92084,"Mário",265,5
92085,"Giovanny ",293,5
92128,"Luis Henrique",293,5
92144,"Denilson",373,2
92180,"Jair Ventura",263,6
92182,"Juninho",275,3
92191,"Léo Jabá",264,5
92193,"Ravanelli",303,4
92207,"Caíque",287,1
92225,"Thiago Lopes",294,4
92438,"Matheus Phillipe",266,1
92497,"Douglas",266,4
92501,"Lucas Lovat",314,2
92504,"Batista",284,5
92574,"Kaio",284,4
92614,"Rafaelson",287,5
92617,"Léo Tilica",284,5
92622,"Jonata",283,5
92630,"Claudinho",303,5
92662,"Denilson",284,3
92702,"Daniel Paulista",292,6
92708,"Deyverson",275,5
92762,"Erick Salles",303,5
92981,"Ronaldo",373,4
93108,"Mateus Vital",267,4
93146,"Yan",275,4
93151,"Thiago Santos",262,5
93153,"Pachequinho",294,6
93282,"Fábio",1,4
93296,"Aderllan Santos",276,3
93317,"Diogo Giacomini",282,6
93368,"Lucas Veríssimo",277,3
93369,"Rodrigo Becão",265,3
93378,"Augusto",275,3
93414,"Joel Carli",263,3
93490,"Guilherme",303,1
93551,"Igor",373,4
93739,"Peu",266,5
93746,"Lenis",292,5
93785,"Alan Cardoso",267,2
93787,"Andrey",267,4
93788,"Evander",267,4
93789,"Caio Monteiro",267,5
93790,"Marlon Freitas",266,4
93791,"Danielzinho",266,4
93797,"Marcinho",263,2
93806,"Alison",373,5
93846,"Rafael Fachin",294,1
93869,"Lucas França",283,1
93882,"Cleiton",282,1
93956,"Edson Júnior",373,5
93986,"Salazar",314,3
94003,"Scalon",315,3
94004,"Andrei Alba",315,4
94044,"John Victor",277,1
94045,"Diego Gomes",277,4
94067,"Matheus Fernandes",263,4
94068,"Ribamar",293,5
94102,"Matheus",314,1
94105,"Devid",314,5
94119,"Lucas Rocha",267,3
94138,"Felipe Vizeu",262,5
94144,"Thallyson",292,4
94147,"Lucas Ferreira",292,1
94154,"Maycon",264,4
94207,"Guilherme",263,5
94214,"Léo Duarte",262,3
94228,"Iago",284,2
94249,"Lourency",315,5
94269,"Luiz Otávio",293,4
94286,"Perotti",315,5
94288,"Lima",315,4
94336,"Mateus Norton",266,4
94445,"Juninho",292,5
94509,"Raphael Veiga",275,4
94583,"Pedro",266,5
94765,"Léo Principe",264,2
94854,"César",282,2
94857,"Jonatan Gomez",276,4
94885,"Léo",314,2
94894,"Capixaba",282,5
94930,"Lucas Paquetá",262,4
94931,"Lucas Fernandes",276,4
94962,"Lucão",283,1
94966,"Deijair ",265,1
94968,"Juninho Capixaba",265,2
94971,"Luís Fernando",265,4
94975,"Marco Antônio",265,4
94978,"Kaynan",265,5
94985,"Dodô",294,2
95022,"Thalis ",282,4
95023,"Luis Guilherme",282,5
95054,"Júnior Ramos",265,4
95058,"Moraes",262,2
95071,"Celis",287,4
95118,"Thiago Henrique",282,1
95126,"Yago",293,5
95127,"Nicolas",293,2
95180,"Índio",292,5
95260,"Vitinho",283,2
95263,"Luquinhas",266,4
95288,"Bruno Xavier",292,4
95315,"Índio",294,5
95332,"Marcinho",276,5
95335,"Matheus Jesus",277,4
95438,"Dedé",373,3
95477,"Menezes",314,4
95483,"Luiz Felipe",315,1
95539,"Fabrício",292,4
95542,"Orinho",277,2
95543,"Renan Gorne",263,5
95549,"Marcelinho",314,5
95550,"Pedro",373,5
95562,"Messidoro",283,4
95622,"Vico",284,4
95638,"Marcelo",263,3
95651,"Filipinho",282,5
95660,"Araruna",276,4
95662,"Lucas Kal",276,3
95738,"Trauco",262,2
95770,"Vitinho",275,4
95780,"Zé Ricardo",267,6
95794,"Nathan",282,3
95798,"Gustavo Bochecha",263,4
95820,"Léo Santos",264,3
95823,"Yuri Duarte",266,1
95828,"João Vitor",314,4
95830,"Emerson Cris",315,6
95831,"Caíque",276,2
95837,"Fabián Noguera",277,3
95840,"Lucas Barboza ",267,3
95843,"Sander",292,2
95849,"Felipe",265,1
95855,"Kady",294,4
95875,"Hugo Borges",267,5
95876,"Douglas",267,4
95936,"Daniel Fuzato",275,1
95978,"Ty Sandows",284,5
96055,"Yan",294,4
96089,"Machado",284,4
96328,"Matheus Oliveira",277,4
96340,"Lima",284,4
96349,"Geovane",294,3
96411,"Cassiano",265,1
96433,"Ralph",282,4
96464,"Mauricio",314,3
96524,"Victor Lindenberg",263,2
