"Rodada","ClubeID","AtletaID","Participou","Pontos","PontosMedia","Preco","PrecoVariacao","FS","PE","A","FT","FD","FF","G","I","PP","RB","FC","GC","CA","CV","SG","DD","DP","GS"
5,285,36728,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,285,36728,TRUE,-2.1,-2.1,3.46,-1.54,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0
7,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,285,36728,FALSE,0,-2.1,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,316,36775,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,316,36775,TRUE,2.8,2.8,5.91,0.91,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,316,36775,TRUE,3.5,3.15,7,1.09,1,5,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0
0,282,36790,FALSE,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,282,36790,FALSE,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,282,36790,FALSE,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,282,36790,FALSE,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,282,36790,FALSE,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,282,36790,FALSE,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,282,36790,TRUE,-0.8,-0.8,9.44,-2.56,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
7,282,36790,TRUE,1.8,0.5,9.63,0.19,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
8,282,36790,TRUE,0,0.33,8.89,-0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,282,36790,TRUE,9.9,2.72,11.05,2.16,2,5,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0
10,282,36790,FALSE,0,2.72,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
